comment,label
comment,label
"Juky San hát hay quá, ủng hộ hết mình",2
"Làm màu câu fame quá",1
"Thôi đừng toxic nữa",0
"Giọng hát ngọt ngào và trong trẻo quá",2
"Drama hoài không chán à",1
"Ai cũng có lúc sai mà",0
"Nhìn giả tạo thật sự",1
"Luôn yêu quý và đồng hành cùng chị",2
"Cô ấy đã xin lỗi rồi",0
"MV tuyệt vời, xem đi xem lại không chán",2
"Chiêu trò rẻ tiền",1
"Nên cho người ta cơ hội",0
"Xử lý tình huống rất khôn ngoan và tử tế",2
"Cố tình gây chú ý thôi",1
"Không nên công kích cá nhân",0
"Một nghệ sĩ có tâm và có tầm",2
"Xem mà thấy phản cảm",1
"Mọi người thông cảm đi",0
"Luôn tỏa sáng theo cách riêng của mình nhé",2
"PR bẩn quá rồi",1
"Drama mạng thôi mà",0
"Rất thích cách sống và làm việc của bạn này",2
"Nổi bằng scandal à",1
"Ủng hộ cô ấy sửa sai",0
"Năng lượng tích cực quá, yêu đời hẳn",2
"Hết content nên làm trò",1
"Đừng quá khắt khe",0
"Đúng là thần tượng của lòng mình",2
"Mất thiện cảm luôn",1
"Nói vậy tội người ta",0
"Xinh đẹp lại còn tài năng nữa",2
"Càng ngày càng lố",1
"Quan trọng là biết nhận lỗi",0
"Chúc bạn ngày càng thành công hơn",2
"Thấy là biết diễn rồi",1
"Ai cũng có thể mắc sai lầm",0
"Mãi ủng hộ những dự án âm nhạc của chị",2
"Chẳng có gì hay ho",1
"Cô ấy đã xử lý ổn rồi",0
"Nghe bài này thấy nhẹ lòng thực sự",2
"Làm vậy mà cũng bênh được",1
"Nên nhìn nhận tích cực hơn",0
"Một tấm gương sáng để học tập",2
"Không tôn trọng văn hóa gì cả",1
"Đừng quá nặng lời",0
"Dễ thương quá, xem mà thấy ấm lòng",2
"Đúng kiểu sống ảo câu like",1
"Mình thấy cũng không đến mức đó",0
"Rất chuyên nghiệp và đáng ngưỡng mộ",2
"Nhìn là thấy có mùi drama",1
"Thôi bỏ qua đi",0
"Mong chờ những sản phẩm tiếp theo của bạn",2
"Làm quá lên rồi đó",1
"Đừng làm quá lên",0
"Tình cảm và chân thành quá",2
"Thật sự thấy khó chịu",1
"Chuyện nhỏ thôi mà",0
"Vẻ đẹp tâm hồn còn quý giá hơn vẻ ngoài",2
"Đừng có diễn nữa",1
"Mọi người nên bình tĩnh",0
"Cảm ơn bạn đã mang lại niềm vui cho mọi người",2
"Đúng kiểu kiếm chuyện để nổi",1
"Thần thái đỉnh cao luôn chị ơi",2
"Lại thêm drama nhảm nhí",1
"Luôn giữ vững phong độ này nhé",2
"Nhìn là thấy không chân thật",1
"Cố lên, mọi người luôn ở bên cạnh bạn",2
"Chiêu trò câu view quá rõ",1
"Thực sự xúc động khi xem clip này",2
"Cố tình làm quá lên",1
"Thật sự rất phản cảm",1
"Không ưa nổi",1
"Làm lố quá mức",1
"Xàm thật sự",1
"Chỉ thấy toàn chiêu trò",1
"Xem mà thấy cringe",1
"Nhạt mà cứ thích gây chú ý",1
"Đúng là hết nội dung rồi",1
"Không có gì ngoài drama",1
"Làm vậy mất hình tượng luôn",1
"Nhìn mà thấy mệt",1
"Lại trò cũ thôi",1
"Thấy giả trân ghê",1
"Không thích kiểu này",1
"Quá lố rồi đó",1
"Xàm thật sự",1
"Chỉ thấy toàn chiêu trò",1
"Không đáng để quan tâm",1
"Làm quá mọi thứ lên",1
"Thấy mà ngán",1
"Chả có gì đặc biệt",1
"Drama để nổi thôi",1
"Càng ngày càng tệ",1
"Thấy là muốn lướt qua",1
"Nội dung chán thật",1
"Không hợp mắt chút nào",1
"Thôi mọi người nhẹ nhàng thôi",0
"Mình thấy cũng bình thường mà",0
"Ai cũng có lúc sai sót",0
"Quan trọng là đã sửa sai",0
"Đừng công kích quá đáng",0
"Mình nghĩ nên thông cảm",0
"Cũng không đáng bị nặng lời vậy",0
"Mọi người đang hơi quá rồi",0
"Thấy cũng tội mà",0
"Cho người ta cơ hội đi",0
"Không nên toxic vậy",0
"Mạng xã hội mà, nhẹ nhàng thôi",0
"Mình thấy cô ấy cũng cố gắng rồi",0
